orig_name,dest_name,card_fare
Rangiora/Kaiapoi,Banks Peninsula/Selwyn,
Styx/Parklands,Redcliffs/Sumner,2.55
Sawyers Arms/Northcote/Belfast,Redcliffs/Sumner,2.55
Marshland/Redwood,Redcliffs/Sumner,2.55
Burnside/Harewood,Redcliffs/Sumner,2.55
Bishopdale/Papanui,Redcliffs/Sumner,2.55
St Albans North/ Mairehau,Redcliffs/Sumner,2.55
Richmond/Shirley,Redcliffs/Sumner,2.55
Burwood/Dallington/Avondale,Redcliffs/Sumner,2.55
North Beach/New Brighton/Southshore,Redcliffs/Sumner,2.55
Fendalton/Strowan/Bryndwr,Redcliffs/Sumner,2.55
St Albans East/Edgeware,Redcliffs/Sumner,2.55
Merivale/St Albans West,Redcliffs/Sumner,2.55
Ilam/Westburn,Redcliffs/Sumner,2.55
Avonhead/Yaldhurst,Redcliffs/Sumner,2.55
Aranui/Bromley/Bexley,Redcliffs/Sumner,2.55
Richmond/Avonside,Redcliffs/Sumner,
Avon Loop/Christchurch East,Redcliffs/Sumner,2.55
Sockburn/Upper Riccarton,Redcliffs/Sumner,2.55
Linwood/Phillipstown,Redcliffs/Sumner,2.55
Riccarton,Redcliffs/Sumner,2.55
Christchurch Central/Hagley,Redcliffs/Sumner,2.55
Horby/Islington/Hei Hei,Redcliffs/Sumner,2.55
Addington,Redcliffs/Sumner,2.55
Woolston/Opawa,Redcliffs/Sumner,2.55
Sydenham/Waltham,Redcliffs/Sumner,2.55
Spreydon/Somerfield,Redcliffs/Sumner,2.55
Hillmorton/Hoon Hay,Redcliffs/Sumner,2.55
St Martins/Beckenham/Huntsbury,Redcliffs/Sumner,2.55
Halswell/Wigram,Redcliffs/Sumner,2.55
Westmorland/Cashmere/Barrington,Redcliffs/Sumner,2.55
Styx/Parklands,Christchurch Central/Hagley,2.55
Sawyers Arms/Northcote/Belfast,Christchurch Central/Hagley,2.55
Marshland/Redwood,Christchurch Central/Hagley,2.55
Burnside/Harewood,Christchurch Central/Hagley,2.55
Bishopdale/Papanui,Christchurch Central/Hagley,2.55
St Albans North/ Mairehau,Christchurch Central/Hagley,2.55
Richmond/Shirley,Christchurch Central/Hagley,2.55
Burwood/Dallington/Avondale,Christchurch Central/Hagley,2.55
North Beach/New Brighton/Southshore,Christchurch Central/Hagley,2.55
Fendalton/Strowan/Bryndwr,Christchurch Central/Hagley,2.55
St Albans East/Edgeware,Christchurch Central/Hagley,2.55
Merivale/St Albans West,Christchurch Central/Hagley,2.55
Ilam/Westburn,Christchurch Central/Hagley,2.55
Avonhead/Yaldhurst,Christchurch Central/Hagley,2.55
Aranui/Bromley/Bexley,Christchurch Central/Hagley,2.55
Richmond/Avonside,Christchurch Central/Hagley,2.55
Avon Loop/Christchurch East,Christchurch Central/Hagley,2.55
Sockburn/Upper Riccarton,Christchurch Central/Hagley,2.55
Linwood/Phillipstown,Christchurch Central/Hagley,2.55
Riccarton,Christchurch Central/Hagley,2.55
Horby/Islington/Hei Hei,Christchurch Central/Hagley,2.55
Addington,Christchurch Central/Hagley,2.55
Woolston/Opawa,Christchurch Central/Hagley,2.55
Sydenham/Waltham,Christchurch Central/Hagley,2.55
Spreydon/Somerfield,Christchurch Central/Hagley,2.55
Hillmorton/Hoon Hay,Christchurch Central/Hagley,2.55
St Martins/Beckenham/Huntsbury,Christchurch Central/Hagley,2.55
Redcliffs/Sumner,Christchurch Central/Hagley,2.55
Halswell/Wigram,Christchurch Central/Hagley,2.55
Westmorland/Cashmere/Barrington,Christchurch Central/Hagley,2.55
Sawyers Arms/Northcote/Belfast,Styx/Parklands,2.55
Marshland/Redwood,Styx/Parklands,2.55
Burnside/Harewood,Styx/Parklands,2.55
Bishopdale/Papanui,Styx/Parklands,2.55
St Albans North/ Mairehau,Styx/Parklands,2.55
Richmond/Shirley,Styx/Parklands,2.55
Burwood/Dallington/Avondale,Styx/Parklands,2.55
North Beach/New Brighton/Southshore,Styx/Parklands,2.55
Fendalton/Strowan/Bryndwr,Styx/Parklands,2.55
St Albans East/Edgeware,Styx/Parklands,2.55
Merivale/St Albans West,Styx/Parklands,2.55
Ilam/Westburn,Styx/Parklands,2.55
Avonhead/Yaldhurst,Styx/Parklands,2.55
Aranui/Bromley/Bexley,Styx/Parklands,2.55
Richmond/Avonside,Styx/Parklands,
Avon Loop/Christchurch East,Styx/Parklands,2.55
Sockburn/Upper Riccarton,Styx/Parklands,2.55
Linwood/Phillipstown,Styx/Parklands,2.55
Riccarton,Styx/Parklands,2.55
Christchurch Central/Hagley,Styx/Parklands,2.55
Horby/Islington/Hei Hei,Styx/Parklands,2.55
Addington,Styx/Parklands,2.55
Woolston/Opawa,Styx/Parklands,2.55
Sydenham/Waltham,Styx/Parklands,2.55
Spreydon/Somerfield,Styx/Parklands,2.55
Hillmorton/Hoon Hay,Styx/Parklands,2.55
St Martins/Beckenham/Huntsbury,Styx/Parklands,2.55
Redcliffs/Sumner,Styx/Parklands,2.55
Halswell/Wigram,Styx/Parklands,2.55
Westmorland/Cashmere/Barrington,Styx/Parklands,2.55
Styx/Parklands,Merivale/St Albans West,2.55
Sawyers Arms/Northcote/Belfast,Merivale/St Albans West,2.55
Marshland/Redwood,Merivale/St Albans West,2.55
Burnside/Harewood,Merivale/St Albans West,2.55
Bishopdale/Papanui,Merivale/St Albans West,2.55
St Albans North/ Mairehau,Merivale/St Albans West,2.55
Richmond/Shirley,Merivale/St Albans West,2.55
Burwood/Dallington/Avondale,Merivale/St Albans West,2.55
North Beach/New Brighton/Southshore,Merivale/St Albans West,2.55
Fendalton/Strowan/Bryndwr,Merivale/St Albans West,2.55
St Albans East/Edgeware,Merivale/St Albans West,2.55
Ilam/Westburn,Merivale/St Albans West,2.55
Avonhead/Yaldhurst,Merivale/St Albans West,2.55
Aranui/Bromley/Bexley,Merivale/St Albans West,2.55
Richmond/Avonside,Merivale/St Albans West,2.55
Avon Loop/Christchurch East,Merivale/St Albans West,2.55
Sockburn/Upper Riccarton,Merivale/St Albans West,2.55
Linwood/Phillipstown,Merivale/St Albans West,2.55
Riccarton,Merivale/St Albans West,2.55
Christchurch Central/Hagley,Merivale/St Albans West,2.55
Horby/Islington/Hei Hei,Merivale/St Albans West,2.55
Addington,Merivale/St Albans West,2.55
Woolston/Opawa,Merivale/St Albans West,2.55
Sydenham/Waltham,Merivale/St Albans West,2.55
Spreydon/Somerfield,Merivale/St Albans West,2.55
Hillmorton/Hoon Hay,Merivale/St Albans West,2.55
St Martins/Beckenham/Huntsbury,Merivale/St Albans West,2.55
Redcliffs/Sumner,Merivale/St Albans West,2.55
Halswell/Wigram,Merivale/St Albans West,2.55
Westmorland/Cashmere/Barrington,Merivale/St Albans West,2.55
Styx/Parklands,Sawyers Arms/Northcote/Belfast,2.55
Marshland/Redwood,Sawyers Arms/Northcote/Belfast,2.55
Burnside/Harewood,Sawyers Arms/Northcote/Belfast,2.55
Bishopdale/Papanui,Sawyers Arms/Northcote/Belfast,2.55
St Albans North/ Mairehau,Sawyers Arms/Northcote/Belfast,2.55
Richmond/Shirley,Sawyers Arms/Northcote/Belfast,2.55
Burwood/Dallington/Avondale,Sawyers Arms/Northcote/Belfast,2.55
North Beach/New Brighton/Southshore,Sawyers Arms/Northcote/Belfast,2.55
Fendalton/Strowan/Bryndwr,Sawyers Arms/Northcote/Belfast,2.55
St Albans East/Edgeware,Sawyers Arms/Northcote/Belfast,2.55
Merivale/St Albans West,Sawyers Arms/Northcote/Belfast,2.55
Ilam/Westburn,Sawyers Arms/Northcote/Belfast,2.55
Avonhead/Yaldhurst,Sawyers Arms/Northcote/Belfast,2.55
Aranui/Bromley/Bexley,Sawyers Arms/Northcote/Belfast,2.55
Richmond/Avonside,Sawyers Arms/Northcote/Belfast,
Avon Loop/Christchurch East,Sawyers Arms/Northcote/Belfast,2.55
Sockburn/Upper Riccarton,Sawyers Arms/Northcote/Belfast,2.55
Linwood/Phillipstown,Sawyers Arms/Northcote/Belfast,2.55
Riccarton,Sawyers Arms/Northcote/Belfast,2.55
Christchurch Central/Hagley,Sawyers Arms/Northcote/Belfast,2.55
Horby/Islington/Hei Hei,Sawyers Arms/Northcote/Belfast,2.55
Addington,Sawyers Arms/Northcote/Belfast,2.55
Woolston/Opawa,Sawyers Arms/Northcote/Belfast,2.55
Sydenham/Waltham,Sawyers Arms/Northcote/Belfast,2.55
Spreydon/Somerfield,Sawyers Arms/Northcote/Belfast,2.55
Hillmorton/Hoon Hay,Sawyers Arms/Northcote/Belfast,2.55
St Martins/Beckenham/Huntsbury,Sawyers Arms/Northcote/Belfast,2.55
Redcliffs/Sumner,Sawyers Arms/Northcote/Belfast,2.55
Halswell/Wigram,Sawyers Arms/Northcote/Belfast,2.55
Westmorland/Cashmere/Barrington,Sawyers Arms/Northcote/Belfast,2.55
Styx/Parklands,Avon Loop/Christchurch East,2.55
Sawyers Arms/Northcote/Belfast,Avon Loop/Christchurch East,2.55
Marshland/Redwood,Avon Loop/Christchurch East,2.55
Burnside/Harewood,Avon Loop/Christchurch East,2.55
Bishopdale/Papanui,Avon Loop/Christchurch East,2.55
St Albans North/ Mairehau,Avon Loop/Christchurch East,2.55
Richmond/Shirley,Avon Loop/Christchurch East,2.55
Burwood/Dallington/Avondale,Avon Loop/Christchurch East,2.55
North Beach/New Brighton/Southshore,Avon Loop/Christchurch East,2.55
Fendalton/Strowan/Bryndwr,Avon Loop/Christchurch East,2.55
St Albans East/Edgeware,Avon Loop/Christchurch East,2.55
Merivale/St Albans West,Avon Loop/Christchurch East,2.55
Ilam/Westburn,Avon Loop/Christchurch East,2.55
Avonhead/Yaldhurst,Avon Loop/Christchurch East,2.55
Aranui/Bromley/Bexley,Avon Loop/Christchurch East,2.55
Richmond/Avonside,Avon Loop/Christchurch East,2.55
Sockburn/Upper Riccarton,Avon Loop/Christchurch East,2.55
Linwood/Phillipstown,Avon Loop/Christchurch East,2.55
Riccarton,Avon Loop/Christchurch East,2.55
Christchurch Central/Hagley,Avon Loop/Christchurch East,2.55
Horby/Islington/Hei Hei,Avon Loop/Christchurch East,2.55
Addington,Avon Loop/Christchurch East,2.55
Woolston/Opawa,Avon Loop/Christchurch East,2.55
Sydenham/Waltham,Avon Loop/Christchurch East,2.55
Spreydon/Somerfield,Avon Loop/Christchurch East,2.55
Hillmorton/Hoon Hay,Avon Loop/Christchurch East,2.55
St Martins/Beckenham/Huntsbury,Avon Loop/Christchurch East,2.55
Redcliffs/Sumner,Avon Loop/Christchurch East,2.55
Halswell/Wigram,Avon Loop/Christchurch East,2.55
Westmorland/Cashmere/Barrington,Avon Loop/Christchurch East,2.55
Styx/Parklands,Sockburn/Upper Riccarton,2.55
Sawyers Arms/Northcote/Belfast,Sockburn/Upper Riccarton,2.55
Marshland/Redwood,Sockburn/Upper Riccarton,2.55
Burnside/Harewood,Sockburn/Upper Riccarton,2.55
Bishopdale/Papanui,Sockburn/Upper Riccarton,2.55
St Albans North/ Mairehau,Sockburn/Upper Riccarton,2.55
Richmond/Shirley,Sockburn/Upper Riccarton,2.55
Burwood/Dallington/Avondale,Sockburn/Upper Riccarton,2.55
North Beach/New Brighton/Southshore,Sockburn/Upper Riccarton,2.55
Fendalton/Strowan/Bryndwr,Sockburn/Upper Riccarton,2.55
St Albans East/Edgeware,Sockburn/Upper Riccarton,2.55
Merivale/St Albans West,Sockburn/Upper Riccarton,2.55
Ilam/Westburn,Sockburn/Upper Riccarton,2.55
Avonhead/Yaldhurst,Sockburn/Upper Riccarton,2.55
Aranui/Bromley/Bexley,Sockburn/Upper Riccarton,2.55
Richmond/Avonside,Sockburn/Upper Riccarton,
Avon Loop/Christchurch East,Sockburn/Upper Riccarton,2.55
Linwood/Phillipstown,Sockburn/Upper Riccarton,2.55
Riccarton,Sockburn/Upper Riccarton,2.55
Christchurch Central/Hagley,Sockburn/Upper Riccarton,2.55
Horby/Islington/Hei Hei,Sockburn/Upper Riccarton,2.55
Addington,Sockburn/Upper Riccarton,2.55
Woolston/Opawa,Sockburn/Upper Riccarton,2.55
Sydenham/Waltham,Sockburn/Upper Riccarton,2.55
Spreydon/Somerfield,Sockburn/Upper Riccarton,2.55
Hillmorton/Hoon Hay,Sockburn/Upper Riccarton,2.55
St Martins/Beckenham/Huntsbury,Sockburn/Upper Riccarton,2.55
Redcliffs/Sumner,Sockburn/Upper Riccarton,2.55
Halswell/Wigram,Sockburn/Upper Riccarton,2.55
Westmorland/Cashmere/Barrington,Sockburn/Upper Riccarton,2.55
Styx/Parklands,St Martins/Beckenham/Huntsbury,2.55
Sawyers Arms/Northcote/Belfast,St Martins/Beckenham/Huntsbury,2.55
Marshland/Redwood,St Martins/Beckenham/Huntsbury,2.55
Burnside/Harewood,St Martins/Beckenham/Huntsbury,2.55
Bishopdale/Papanui,St Martins/Beckenham/Huntsbury,2.55
St Albans North/ Mairehau,St Martins/Beckenham/Huntsbury,2.55
Richmond/Shirley,St Martins/Beckenham/Huntsbury,2.55
Burwood/Dallington/Avondale,St Martins/Beckenham/Huntsbury,2.55
North Beach/New Brighton/Southshore,St Martins/Beckenham/Huntsbury,2.55
Fendalton/Strowan/Bryndwr,St Martins/Beckenham/Huntsbury,2.55
St Albans East/Edgeware,St Martins/Beckenham/Huntsbury,2.55
Merivale/St Albans West,St Martins/Beckenham/Huntsbury,2.55
Ilam/Westburn,St Martins/Beckenham/Huntsbury,2.55
Avonhead/Yaldhurst,St Martins/Beckenham/Huntsbury,2.55
Aranui/Bromley/Bexley,St Martins/Beckenham/Huntsbury,2.55
Richmond/Avonside,St Martins/Beckenham/Huntsbury,
Avon Loop/Christchurch East,St Martins/Beckenham/Huntsbury,2.55
Sockburn/Upper Riccarton,St Martins/Beckenham/Huntsbury,2.55
Linwood/Phillipstown,St Martins/Beckenham/Huntsbury,2.55
Riccarton,St Martins/Beckenham/Huntsbury,2.55
Christchurch Central/Hagley,St Martins/Beckenham/Huntsbury,2.55
Horby/Islington/Hei Hei,St Martins/Beckenham/Huntsbury,2.55
Addington,St Martins/Beckenham/Huntsbury,2.55
Woolston/Opawa,St Martins/Beckenham/Huntsbury,2.55
Sydenham/Waltham,St Martins/Beckenham/Huntsbury,2.55
Spreydon/Somerfield,St Martins/Beckenham/Huntsbury,2.55
Hillmorton/Hoon Hay,St Martins/Beckenham/Huntsbury,2.55
Redcliffs/Sumner,St Martins/Beckenham/Huntsbury,2.55
Halswell/Wigram,St Martins/Beckenham/Huntsbury,2.55
Westmorland/Cashmere/Barrington,St Martins/Beckenham/Huntsbury,2.55
Styx/Parklands,Aranui/Bromley/Bexley,2.55
Sawyers Arms/Northcote/Belfast,Aranui/Bromley/Bexley,2.55
Marshland/Redwood,Aranui/Bromley/Bexley,2.55
Burnside/Harewood,Aranui/Bromley/Bexley,2.55
Bishopdale/Papanui,Aranui/Bromley/Bexley,2.55
St Albans North/ Mairehau,Aranui/Bromley/Bexley,2.55
Richmond/Shirley,Aranui/Bromley/Bexley,2.55
Burwood/Dallington/Avondale,Aranui/Bromley/Bexley,2.55
North Beach/New Brighton/Southshore,Aranui/Bromley/Bexley,2.55
Fendalton/Strowan/Bryndwr,Aranui/Bromley/Bexley,2.55
St Albans East/Edgeware,Aranui/Bromley/Bexley,2.55
Merivale/St Albans West,Aranui/Bromley/Bexley,2.55
Ilam/Westburn,Aranui/Bromley/Bexley,2.55
Avonhead/Yaldhurst,Aranui/Bromley/Bexley,2.55
Richmond/Avonside,Aranui/Bromley/Bexley,2.55
Avon Loop/Christchurch East,Aranui/Bromley/Bexley,2.55
Sockburn/Upper Riccarton,Aranui/Bromley/Bexley,2.55
Linwood/Phillipstown,Aranui/Bromley/Bexley,2.55
Riccarton,Aranui/Bromley/Bexley,2.55
Christchurch Central/Hagley,Aranui/Bromley/Bexley,2.55
Horby/Islington/Hei Hei,Aranui/Bromley/Bexley,2.55
Addington,Aranui/Bromley/Bexley,2.55
Woolston/Opawa,Aranui/Bromley/Bexley,2.55
Sydenham/Waltham,Aranui/Bromley/Bexley,2.55
Spreydon/Somerfield,Aranui/Bromley/Bexley,2.55
Hillmorton/Hoon Hay,Aranui/Bromley/Bexley,2.55
St Martins/Beckenham/Huntsbury,Aranui/Bromley/Bexley,2.55
Redcliffs/Sumner,Aranui/Bromley/Bexley,2.55
Halswell/Wigram,Aranui/Bromley/Bexley,2.55
Westmorland/Cashmere/Barrington,Aranui/Bromley/Bexley,2.55
Styx/Parklands,Burnside/Harewood,2.55
Sawyers Arms/Northcote/Belfast,Burnside/Harewood,2.55
Marshland/Redwood,Burnside/Harewood,2.55
Bishopdale/Papanui,Burnside/Harewood,2.55
St Albans North/ Mairehau,Burnside/Harewood,2.55
Richmond/Shirley,Burnside/Harewood,2.55
Burwood/Dallington/Avondale,Burnside/Harewood,2.55
North Beach/New Brighton/Southshore,Burnside/Harewood,2.55
Fendalton/Strowan/Bryndwr,Burnside/Harewood,2.55
St Albans East/Edgeware,Burnside/Harewood,2.55
Merivale/St Albans West,Burnside/Harewood,2.55
Ilam/Westburn,Burnside/Harewood,2.55
Avonhead/Yaldhurst,Burnside/Harewood,2.55
Aranui/Bromley/Bexley,Burnside/Harewood,2.55
Richmond/Avonside,Burnside/Harewood,
Avon Loop/Christchurch East,Burnside/Harewood,2.55
Sockburn/Upper Riccarton,Burnside/Harewood,2.55
Linwood/Phillipstown,Burnside/Harewood,2.55
Riccarton,Burnside/Harewood,2.55
Christchurch Central/Hagley,Burnside/Harewood,2.55
Horby/Islington/Hei Hei,Burnside/Harewood,2.55
Addington,Burnside/Harewood,2.55
Woolston/Opawa,Burnside/Harewood,2.55
Sydenham/Waltham,Burnside/Harewood,2.55
Spreydon/Somerfield,Burnside/Harewood,2.55
Hillmorton/Hoon Hay,Burnside/Harewood,2.55
St Martins/Beckenham/Huntsbury,Burnside/Harewood,2.55
Redcliffs/Sumner,Burnside/Harewood,2.55
Halswell/Wigram,Burnside/Harewood,2.55
Westmorland/Cashmere/Barrington,Burnside/Harewood,2.55
Styx/Parklands,Burwood/Dallington/Avondale,2.55
Sawyers Arms/Northcote/Belfast,Burwood/Dallington/Avondale,2.55
Marshland/Redwood,Burwood/Dallington/Avondale,2.55
Burnside/Harewood,Burwood/Dallington/Avondale,2.55
Bishopdale/Papanui,Burwood/Dallington/Avondale,2.55
St Albans North/ Mairehau,Burwood/Dallington/Avondale,2.55
Richmond/Shirley,Burwood/Dallington/Avondale,2.55
North Beach/New Brighton/Southshore,Burwood/Dallington/Avondale,2.55
Fendalton/Strowan/Bryndwr,Burwood/Dallington/Avondale,2.55
St Albans East/Edgeware,Burwood/Dallington/Avondale,2.55
Merivale/St Albans West,Burwood/Dallington/Avondale,2.55
Ilam/Westburn,Burwood/Dallington/Avondale,2.55
Avonhead/Yaldhurst,Burwood/Dallington/Avondale,2.55
Aranui/Bromley/Bexley,Burwood/Dallington/Avondale,2.55
Richmond/Avonside,Burwood/Dallington/Avondale,2.55
Avon Loop/Christchurch East,Burwood/Dallington/Avondale,2.55
