au2001,property_type,#bedrooms,quarter,rent_count,rent_mean,rent_geo_mean,au_name,territory,region,rental_area
564530,House,5+,2019-06-01,,,,Pinehaven,Upper Hutt City,Wellington,Heretaunga/Silverstream
564600,House,3,2019-03-01,,,,Nabhra,Upper Hutt City,Wellington,Heretaunga/Silverstream
564600,House,4,2019-03-01,,,,Nabhra,Upper Hutt City,Wellington,Heretaunga/Silverstream
564600,House,3,2019-06-01,,,,Nabhra,Upper Hutt City,Wellington,Heretaunga/Silverstream
564600,House,4,2019-06-01,,,,Nabhra,Upper Hutt City,Wellington,Heretaunga/Silverstream
564800,Flat or Apartment,2,2019-03-01,,,,Glendale,Lower Hutt City,Wellington,Wainuiomata
564800,Flat or Apartment,3,2019-03-01,,,,Glendale,Lower Hutt City,Wellington,Wainuiomata
564800,House,2,2019-03-01,,,,Glendale,Lower Hutt City,Wellington,Wainuiomata
564800,House,3,2019-03-01,7.0,429.0,426.0,Glendale,Lower Hutt City,Wellington,Wainuiomata
564800,House,4,2019-03-01,,,,Glendale,Lower Hutt City,Wellington,Wainuiomata
564800,Flat or Apartment,2,2019-06-01,,,,Glendale,Lower Hutt City,Wellington,Wainuiomata
564800,Flat or Apartment,3,2019-06-01,,,,Glendale,Lower Hutt City,Wellington,Wainuiomata
564800,House,2,2019-06-01,,,,Glendale,Lower Hutt City,Wellington,Wainuiomata
564800,House,3,2019-06-01,7.0,459.0,451.0,Glendale,Lower Hutt City,Wellington,Wainuiomata
564800,House,4,2019-06-01,,,,Glendale,Lower Hutt City,Wellington,Wainuiomata
564900,Flat or Apartment,1,2019-03-01,,,,Parkway,Lower Hutt City,Wellington,Wainuiomata
564900,Flat or Apartment,2,2019-03-01,,,,Parkway,Lower Hutt City,Wellington,Wainuiomata
564900,Flat or Apartment,3,2019-03-01,,,,Parkway,Lower Hutt City,Wellington,Wainuiomata
564900,House,2,2019-03-01,,,,Parkway,Lower Hutt City,Wellington,Wainuiomata
564900,House,3,2019-03-01,6.0,407.0,406.0,Parkway,Lower Hutt City,Wellington,Wainuiomata
564900,House,4,2019-03-01,,,,Parkway,Lower Hutt City,Wellington,Wainuiomata
564900,Flat or Apartment,1,2019-06-01,,,,Parkway,Lower Hutt City,Wellington,Wainuiomata
564900,Flat or Apartment,2,2019-06-01,,,,Parkway,Lower Hutt City,Wellington,Wainuiomata
564900,Flat or Apartment,3,2019-06-01,,,,Parkway,Lower Hutt City,Wellington,Wainuiomata
564900,House,2,2019-06-01,,,,Parkway,Lower Hutt City,Wellington,Wainuiomata
564900,House,3,2019-06-01,9.0,457.0,447.0,Parkway,Lower Hutt City,Wellington,Wainuiomata
564900,House,4,2019-06-01,,,,Parkway,Lower Hutt City,Wellington,Wainuiomata
565000,Flat or Apartment,1,2019-03-01,,,,Fernlea,Lower Hutt City,Wellington,Wainuiomata
565000,Flat or Apartment,2,2019-03-01,5.0,288.0,285.0,Fernlea,Lower Hutt City,Wellington,Wainuiomata
565000,House,2,2019-03-01,,,,Fernlea,Lower Hutt City,Wellington,Wainuiomata
565000,House,3,2019-03-01,5.0,391.0,380.0,Fernlea,Lower Hutt City,Wellington,Wainuiomata
565000,House,4,2019-03-01,,,,Fernlea,Lower Hutt City,Wellington,Wainuiomata
565000,Flat or Apartment,1,2019-06-01,,,,Fernlea,Lower Hutt City,Wellington,Wainuiomata
565000,Flat or Apartment,2,2019-06-01,,,,Fernlea,Lower Hutt City,Wellington,Wainuiomata
565000,House,2,2019-06-01,,,,Fernlea,Lower Hutt City,Wellington,Wainuiomata
565000,House,3,2019-06-01,,,,Fernlea,Lower Hutt City,Wellington,Wainuiomata
565000,House,4,2019-06-01,,,,Fernlea,Lower Hutt City,Wellington,Wainuiomata
565100,Flat or Apartment,2,2019-03-01,,,,Arakura,Lower Hutt City,Wellington,Wainuiomata
565100,Flat or Apartment,3,2019-03-01,,,,Arakura,Lower Hutt City,Wellington,Wainuiomata
565100,House,2,2019-03-01,,,,Arakura,Lower Hutt City,Wellington,Wainuiomata
