orig,orig_name,dest,dest_name,duration,distance
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"32 Carlisle St, Island Bay, Wellington 6023, New Zealand",Island Bay/Melrose,22628,29234
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"36 Wilford St, Woburn, Lower Hutt 5011, New Zealand",Hutt Central/Waterloo,17685,20957
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"4 Apuka St, Brooklyn, Wellington 6021, New Zealand",Brooklyn,20038,25488
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"4-22 Te Ore Ore Settlement Rd, Lansdowne, Te Ore Ore 5886, New Zealand",Masterton,80360,101814
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"4-6 Speldhurst Grove, Stokes Valley, Lower Hutt 5019, New Zealand",Stokes Valley,20922,25150
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"42 The Strand, Wainuiomata, Lower Hutt 5014, New Zealand",Wainuiomata,23621,27958
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"43 Cuba St, Petone, Lower Hutt 5012, New Zealand",Petone/Esplanade,18353,20669
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"47 Cashmere Ave, Khandallah, Wellington 6035, New Zealand",Khandallah,13172,17156
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"47-49 McHardie St, Trentham, Upper Hutt 5018, New Zealand",Trentham North/Wallaceville,23046,29752
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"470 Parkvale Road, Wilton, Wellington 6012, New Zealand",Karori South/Makara,18613,23206
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"5 Trelissick Cres, Ngaio, Wellington 6035, New Zealand",Ngaio/Kaiwharawhara/Wilton,15155,19827
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"519 Marine Dr, Sunshine Bay, Lower Hutt 5013, New Zealand",Eastern Bays,23787,28922
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"56-58 Helston Rd, Paparangi, Wellington 6037, New Zealand",Johnsonville/Newlands,11091,14428
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"7 Cargill St, Karori, Wellington 6012, New Zealand",Karori,19770,25219
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"7 Dyer St, Epuni, Lower Hutt 5011, New Zealand",Epuni/Avalon,15917,18538
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"72 Endeavour St, Lyall Bay, Wellington 6022, New Zealand",Kilbirnie/Lyall Bay,22271,28863
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"80-82 Bell Rd, Waiwhetu, Lower Hutt 5010, New Zealand",Moera/Waiwhetu,18669,22233
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"84 Te Hapua Rd, Waikanae Beach, Te Horo 5581, New Zealand",Waikanae/Otaki,35502,47448
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"85 Northland Rd, Northland, Wellington 6012, New Zealand",Northland,18850,24101
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"91 Emerald Hill Dr, Birchville, Upper Hutt 5018, New Zealand",Totara Park/Maoribank/Te Marua,28745,37115
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"93-95 Ira St, Miramar, Wellington 6022, New Zealand",Miramar/Strathmore,23491,29687
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"99 Boulcott St, Wellington, 6011, New Zealand",Lambton,17909,23052
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"Ara Harakeke Way, Plimmerton, Porirua 5026, New Zealand",Paramata/Mana/Pukerua Bay,7419,9991
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,2874,2770
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,13107,16999
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,18143,23962
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"11-15 Datum Way, Paraparaumu 5032, New Zealand",Paraparaumu/Raumati,40745,53965
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"125 Seatoun Heights Rd, Seatoun, Wellington 6022, New Zealand",Oriental Bay/Seatoun,6203,6945
