orig_name,dest_name,card_fare
Island Bay/Melrose,Hutt Central/Waterloo,8.22
Island Bay/Melrose,Johnsonville/Newlands,9.39
Island Bay/Melrose,Karori,7.82
Island Bay/Melrose,Karori South/Makara,6.65
Island Bay/Melrose,Kelburn/Aro Valley,3.91
Island Bay/Melrose,Khandallah,7.82
Island Bay/Melrose,Kilbirnie/Lyall Bay,1.56
Island Bay/Melrose,Kingston/Happy Valley,2.74
Island Bay/Melrose,Lambton,3.91
Island Bay/Melrose,Masterton,
Island Bay/Melrose,Miramar/Strathmore,5.48
Island Bay/Melrose,Moera/Waiwhetu,8.22
Island Bay/Melrose,Mt Cook,2.74
Island Bay/Melrose,Mt Victoria/Roseneath,3.91
Island Bay/Melrose,Ngaio/Kaiwharawhara/Wilton,7.82
Island Bay/Melrose,Northland,6.65
Island Bay/Melrose,Oriental Bay/Seatoun,5.48
Island Bay/Melrose,Papakowhai/Whitby/Pauatahanui,11.74
Island Bay/Melrose,Paramata/Mana/Pukerua Bay,10.17
Island Bay/Melrose,Paraparaumu/Raumati,14.47
Island Bay/Melrose,Petone West/Alicetown,8.22
Island Bay/Melrose,Petone/Esplanade,8.22
Island Bay/Melrose,Porirua East/Waitangirua,10.56
Island Bay/Melrose,Stokes Valley,12.13
Island Bay/Melrose,Taita/Naenae,9.0
Island Bay/Melrose,Tawa/Grenada North,8.22
Island Bay/Melrose,Te Aro,3.91
Island Bay/Melrose,Titahi Bay/Onepoto/Elsdon,11.74
Island Bay/Melrose,Totara Park/Maoribank/Te Marua,12.52
Island Bay/Melrose,Trentham North/Wallaceville,10.95
Island Bay/Melrose,Trentham West/Eldersley/Clouston Park,10.95
Island Bay/Melrose,Vogeltown/Berhampore/Newtown,2.74
Island Bay/Melrose,Wadestown/Thordon,3.91
Island Bay/Melrose,Waikanae/Otaki,
Island Bay/Melrose,Wainuiomata,10.95
Island Bay/Melrose,Western Hills/Haywards,8.22
Johnsonville/Newlands,Brooklyn,6.65
Johnsonville/Newlands,Carterton/South Wairarapa,
Johnsonville/Newlands,Eastern Bays,5.87
Johnsonville/Newlands,Epuni/Avalon,8.22
Johnsonville/Newlands,Hataitai,8.22
Johnsonville/Newlands,Heretaunga/Silverstream,7.82
Johnsonville/Newlands,Hutt Central/Waterloo,5.87
Johnsonville/Newlands,Island Bay/Melrose,7.82
Johnsonville/Newlands,Karori,7.82
Johnsonville/Newlands,Karori South/Makara,2.74
Johnsonville/Newlands,Kelburn/Aro Valley,6.65
Johnsonville/Newlands,Khandallah,1.56
Johnsonville/Newlands,Kilbirnie/Lyall Bay,9.39
Johnsonville/Newlands,Kingston/Happy Valley,8.22
Johnsonville/Newlands,Lambton,5.48
Johnsonville/Newlands,Masterton,
Johnsonville/Newlands,Miramar/Strathmore,9.39
Johnsonville/Newlands,Moera/Waiwhetu,5.87
Johnsonville/Newlands,Mt Cook,6.65
Johnsonville/Newlands,Mt Victoria/Roseneath,5.48
