au2001,property_type,num_bedrooms,quarter,rent_count,rent_mean,rent_geo_mean,au_name,territory,region,rental_area
505805,House,2,2019-12-01,22.0,518.0,516.0,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505805,House,3,2019-12-01,21.0,587.0,585.0,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505805,House,4,2019-12-01,,,,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505805,House,5+,2019-12-01,,,,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505805,Flat or Apartment,1,2020-03-01,9.0,414.0,403.0,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505805,Flat or Apartment,2,2020-03-01,15.0,532.0,528.0,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505805,Flat or Apartment,3,2020-03-01,,,,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505805,Flat or Apartment,4,2020-03-01,,,,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505805,House,1,2020-03-01,,,,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505805,House,2,2020-03-01,9.0,479.0,473.0,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505805,House,3,2020-03-01,21.0,618.0,611.0,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505805,House,4,2020-03-01,,,,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505805,House,5+,2020-03-01,,,,Orewa,Rodney District,Auckland,Orewa/Whangaparaoa
505901,Flat or Apartment,1,2019-12-01,5.0,316.0,316.0,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,Flat or Apartment,2,2019-12-01,7.0,432.0,426.0,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,Flat or Apartment,3,2019-12-01,,,,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,House,1,2019-12-01,,,,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,House,2,2019-12-01,21.0,466.0,463.0,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,House,3,2019-12-01,39.0,564.0,557.0,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,House,4,2019-12-01,9.0,688.0,686.0,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,House,5+,2019-12-01,,,,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,Room or Boarding House,1,2019-12-01,,,,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,Room or Boarding House,2,2019-12-01,,,,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,Flat or Apartment,1,2020-03-01,,,,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,Flat or Apartment,2,2020-03-01,8.0,428.0,422.0,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,Flat or Apartment,3,2020-03-01,,,,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,House,1,2020-03-01,,,,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,House,2,2020-03-01,14.0,445.0,442.0,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,House,3,2020-03-01,30.0,571.0,568.0,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,House,4,2020-03-01,10.0,642.0,621.0,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,House,5+,2020-03-01,,,,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,Room or Boarding House,1,2020-03-01,,,,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505901,Room or Boarding House,2,2020-03-01,,,,Stanmore Bay,Rodney District,Auckland,Orewa/Whangaparaoa
505902,Flat or Apartment,1,2019-12-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,Flat or Apartment,2,2019-12-01,5.0,497.0,496.0,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,Flat or Apartment,3,2019-12-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,Flat or Apartment,4,2019-12-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,House,1,2019-12-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,House,2,2019-12-01,10.0,474.0,459.0,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,House,3,2019-12-01,20.0,533.0,530.0,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,House,4,2019-12-01,7.0,686.0,675.0,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,House,5+,2019-12-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,Room or Boarding House,1,2019-12-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,Flat or Apartment,1,2020-03-01,5.0,366.0,363.0,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,Flat or Apartment,2,2020-03-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,Flat or Apartment,3,2020-03-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,Flat or Apartment,4,2020-03-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,House,1,2020-03-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,House,2,2020-03-01,7.0,512.0,508.0,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,House,3,2020-03-01,9.0,604.0,602.0,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,House,4,2020-03-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,House,5+,2020-03-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505902,Room or Boarding House,1,2020-03-01,,,,Manly,Rodney District,Auckland,Orewa/Whangaparaoa
505904,Flat or Apartment,1,2019-12-01,,,,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,Flat or Apartment,2,2019-12-01,,,,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,Flat or Apartment,3,2019-12-01,,,,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,House,1,2019-12-01,,,,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,House,2,2019-12-01,,,,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,House,3,2019-12-01,9.0,545.0,542.0,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,House,4,2019-12-01,11.0,622.0,601.0,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,House,5+,2019-12-01,,,,Army Bay,Rodney District,Auckland,Gulf Harbour
