origin,destination,time,distance
Avondale,St Johns,1154.0,19.329
Avondale,St Lukes/Sandringham,561.0,6.664
Avondale,Sunnynook/Westlake,1216.0,19.486
Avondale,Takanini/Ardmore,1615.0,32.517
Avondale,Takapuna,1108.0,16.619
Avondale,Te Atatu,543.0,7.421
Avondale,Te Atatu Peninsula,728.0,9.095
Avondale,Three Kings,642.0,7.608
Avondale,Titirangi,577.0,7.199
Avondale,Torbay,1685.0,33.327
Avondale,Waiheke Island,4184.0,49.634
Avondale,Wairau Park/Glenfield North,1209.0,19.667
Avondale,Waiuku,3216.0,65.847
Avondale,Waterview/Avondale Heights,138.0,1.436
Avondale,Wattle Downs/Conifer Grove,1610.0,32.404
Avondale,Wellsford/Warkworth/Helensville,3608.0,74.886
Avondale,West Harbour,893.0,15.037
Avondale,Western Beaches/Rural,1311.0,24.944
Avondale,Western Springs/Morningside,508.0,5.718
Avondale,Westmere/Surrey Crescent,558.0,6.941
Avondale,Weymouth,1442.0,26.151
Balmoral,Albany,1210.0,24.168
Balmoral,Avondale,700.0,8.045
Balmoral,Balmoral,0.0,0.0
Balmoral,Beachhaven/Birkdale,1214.0,17.955
Balmoral,Blockhouse Bay/New Windsor,673.0,8.09
Balmoral,Botony Downs,1311.0,19.802
Balmoral,Browns Bay,1446.0,26.286
Balmoral,Bucklands Beach,1312.0,19.846
Balmoral,Central East,599.0,7.554
Balmoral,Central West,629.0,7.437
Balmoral,Chatswood/Birkenhead/Northcote Point,950.0,14.762
Balmoral,Dannemora,1261.0,19.542
Balmoral,Devonport,1319.0,19.945
Balmoral,East Coast Bays,1212.0,19.087
Balmoral,Eden Terrace,410.0,3.958
Balmoral,Ellerslie,627.0,6.907
Balmoral,Epsom,303.0,2.811
Balmoral,Glen Eden,1081.0,13.703
Balmoral,Glen Innes/Pt England/Wai O Taiki,937.0,12.028
Balmoral,Glendene,1047.0,12.965
Balmoral,Glendhu/Glenfield,1210.0,18.245
Balmoral,Greenhithe/Unsworth Heights,1176.0,23.321
Balmoral,Grey Lynn/Arch Hill,634.0,5.609
Balmoral,Gulf Harbour,2945.0,54.83
Balmoral,Half Moon Bay/Farm Cove,1045.0,16.311
Balmoral,Henderson,1229.0,16.182
Balmoral,Herne Bay/St Marys,806.0,6.989
Balmoral,Highland Park,1133.0,17.748
Balmoral,Hillcrest/Northcote,1069.0,17.211
Balmoral,Hillsborough,385.0,3.868
Balmoral,Howick,1327.0,20.674
Balmoral,Kelston,906.0,10.983
Balmoral,Kingsland,383.0,3.442
Balmoral,Kohimarama,969.0,11.732
Balmoral,Lynfield,447.0,4.801
Balmoral,Mangere,751.0,12.51
Balmoral,Mangere Bridge/Airport,630.0,11.406
Balmoral,Mangere East,778.0,14.817
Balmoral,Manukau Central,987.0,20.249
Balmoral,Manukau Heights and Manurewa Heights,1172.0,21.747
Balmoral,Manurewa North,1273.0,23.26
Balmoral,Maraetai/Clevedon,1862.0,32.068
Balmoral,Massey/Royal Heights,997.0,16.404
Balmoral,Meadowbank,768.0,8.706
Balmoral,Mission Bay/Orakei,858.0,10.237
Balmoral,Mt Albert/Owairaka,425.0,4.684
Balmoral,Mt Eden,291.0,2.563
Balmoral,Mt Roskill/Wesley,336.0,3.333
Balmoral,Mt Wellington,767.0,9.57
Balmoral,Mt Wellington North,748.0,9.622
Balmoral,New Lynn,737.0,9.389
Balmoral,Newmarket,435.0,4.55
Balmoral,Newton/Grafton,499.0,4.837
Balmoral,North Harbour/Pine Hill,1245.0,23.751
Balmoral,Onehunga/Oranga/Te Papapa,534.0,5.134
Balmoral,Orewa/Whangaparaoa,,
Balmoral,Otahuhu,865.0,14.092
Balmoral,Otara,1063.0,18.154
Balmoral,Pakuranga,886.0,13.894
Balmoral,Panmure,898.0,11.507
Balmoral,Papakura/Drury/Karaka,1496.0,32.831
Balmoral,Papatoetoe North,989.0,17.263
Balmoral,Papatoetoe South,1069.0,18.028
Balmoral,Papatoetoe West,931.0,18.297
Balmoral,Parnell,630.0,6.77
Balmoral,Penrose/Mt Wellington South,716.0,10.462
Balmoral,Ponsonby/Freemans Bay,699.0,5.976
Balmoral,Pt Chevalier,615.0,6.95
Balmoral,Pukekohe/Tuakau,2193.0,50.868
Balmoral,Ranui,1185.0,17.241
Balmoral,Remuera,595.0,6.877
Balmoral,Remuera South/Meadowbank South,680.0,7.72
Balmoral,Rewiti/Kumeu/Riverhead,1406.0,26.324
Balmoral,Rothesay/Murrays/Mairangi Bays,1398.0,23.833
Balmoral,Royal Oak/One Tree Hill,538.0,4.785
Balmoral,Rural Franklin,2178.0,50.94
Balmoral,St Helliers/Glendowie,1052.0,12.542
Balmoral,St Johns,797.0,9.878
Balmoral,St Lukes/Sandringham,260.0,2.507
Balmoral,Sunnynook/Westlake,1106.0,18.846
Balmoral,Takanini/Ardmore,1396.0,29.323
Balmoral,Takapuna,998.0,15.979
Balmoral,Te Atatu,882.0,12.613
Balmoral,Te Atatu Peninsula,1066.0,14.287
Balmoral,Three Kings,221.0,2.02
Balmoral,Titirangi,1074.0,12.797
Balmoral,Torbay,1524.0,28.025
Balmoral,Waiheke Island,3844.0,40.199
Balmoral,Wairau Park/Glenfield North,1099.0,19.027
Balmoral,Waiuku,2997.0,62.653
Balmoral,Waterview/Avondale Heights,665.0,7.812
Balmoral,Wattle Downs/Conifer Grove,1391.0,29.21
Balmoral,Wellsford/Warkworth/Helensville,3469.0,69.59
Balmoral,West Harbour,1232.0,20.229
Balmoral,Western Beaches/Rural,1646.0,25.296
Balmoral,Western Springs/Morningside,440.0,4.226
Balmoral,Westmere/Surrey Crescent,674.0,7.107
Balmoral,Weymouth,1224.0,22.957
Beachhaven/Birkdale,Albany,812.0,13.631
Beachhaven/Birkdale,Avondale,1259.0,20.627
Beachhaven/Birkdale,Balmoral,1254.0,18.436
Beachhaven/Birkdale,Beachhaven/Birkdale,0.0,0.0
Beachhaven/Birkdale,Blockhouse Bay/New Windsor,1443.0,22.62
Beachhaven/Birkdale,Botony Downs,1848.0,32.397
Beachhaven/Birkdale,Browns Bay,1038.0,13.418
Beachhaven/Birkdale,Bucklands Beach,1848.0,32.441
Beachhaven/Birkdale,Central East,973.0,12.916
Beachhaven/Birkdale,Central West,863.0,12.173
Beachhaven/Birkdale,Chatswood/Birkenhead/Northcote Point,322.0,3.652
Beachhaven/Birkdale,Dannemora,1797.0,32.137
Beachhaven/Birkdale,Devonport,1058.0,13.746
Beachhaven/Birkdale,East Coast Bays,757.0,9.814
Beachhaven/Birkdale,Eden Terrace,1112.0,16.762
Beachhaven/Birkdale,Ellerslie,1197.0,20.721
Beachhaven/Birkdale,Epsom,1090.0,16.6
Beachhaven/Birkdale,Glen Eden,1779.0,30.656
Beachhaven/Birkdale,Glen Innes/Pt England/Wai O Taiki,1491.0,24.639
Beachhaven/Birkdale,Glendene,1541.0,28.379
Beachhaven/Birkdale,Glendhu/Glenfield,268.0,3.226
Beachhaven/Birkdale,Greenhithe/Unsworth Heights,579.0,7.898
Beachhaven/Birkdale,Grey Lynn/Arch Hill,972.0,12.517
Beachhaven/Birkdale,Gulf Harbour,2547.0,44.293
Beachhaven/Birkdale,Half Moon Bay/Farm Cove,1582.0,28.906
Beachhaven/Birkdale,Henderson,1521.0,26.295
Beachhaven/Birkdale,Herne Bay/St Marys,735.0,10.651
Beachhaven/Birkdale,Highland Park,1670.0,30.343
Beachhaven/Birkdale,Hillcrest/Northcote,428.0,4.914
Beachhaven/Birkdale,Hillsborough,1459.0,21.115
Beachhaven/Birkdale,Howick,1864.0,33.269
Beachhaven/Birkdale,Kelston,1587.0,24.35
Beachhaven/Birkdale,Kingsland,1203.0,15.193
Beachhaven/Birkdale,Kohimarama,1519.0,22.705
Beachhaven/Birkdale,Lynfield,1560.0,22.741
Beachhaven/Birkdale,Mangere,1759.0,27.255
Beachhaven/Birkdale,Mangere Bridge/Airport,1638.0,26.151
Beachhaven/Birkdale,Mangere East,1728.0,29.11
Beachhaven/Birkdale,Manukau Central,1659.0,32.871
Beachhaven/Birkdale,Manukau Heights and Manurewa Heights,1709.0,34.342
Beachhaven/Birkdale,Manurewa North,1895.0,38.076
Beachhaven/Birkdale,Maraetai/Clevedon,2399.0,44.663
Beachhaven/Birkdale,Massey/Royal Heights,1202.0,20.831
Beachhaven/Birkdale,Meadowbank,1321.0,21.317
Beachhaven/Birkdale,Mission Bay/Orakei,1411.0,20.928
Beachhaven/Birkdale,Mt Albert/Owairaka,1224.0,18.69
Beachhaven/Birkdale,Mt Eden,1157.0,17.131
Beachhaven/Birkdale,Mt Roskill/Wesley,1428.0,21.177
Beachhaven/Birkdale,Mt Wellington,1304.0,22.165
Beachhaven/Birkdale,Mt Wellington North,1284.0,22.217
Beachhaven/Birkdale,New Lynn,1451.0,23.078
Beachhaven/Birkdale,Newmarket,1012.0,15.376
Beachhaven/Birkdale,Newton/Grafton,1061.0,16.474
Beachhaven/Birkdale,North Harbour/Pine Hill,815.0,10.609
Beachhaven/Birkdale,Onehunga/Oranga/Te Papapa,1384.0,21.579
Beachhaven/Birkdale,Orewa/Whangaparaoa,,
Beachhaven/Birkdale,Otahuhu,1401.0,26.687
Beachhaven/Birkdale,Otara,1599.0,30.749
Beachhaven/Birkdale,Pakuranga,1422.0,26.489
Beachhaven/Birkdale,Panmure,1434.0,24.102
Beachhaven/Birkdale,Papakura/Drury/Karaka,2116.0,44.586
Beachhaven/Birkdale,Papatoetoe North,1526.0,29.858
Beachhaven/Birkdale,Papatoetoe South,1605.0,30.623
Beachhaven/Birkdale,Papatoetoe West,1738.0,32.427
Beachhaven/Birkdale,Parnell,1050.0,16.548
Beachhaven/Birkdale,Penrose/Mt Wellington South,1252.0,23.057
Beachhaven/Birkdale,Ponsonby/Freemans Bay,806.0,11.231
Beachhaven/Birkdale,Pt Chevalier,1138.0,18.757
Beachhaven/Birkdale,Pukekohe/Tuakau,2813.0,62.623
Beachhaven/Birkdale,Ranui,1417.0,25.391
Beachhaven/Birkdale,Remuera,1091.0,17.966
Beachhaven/Birkdale,Remuera South/Meadowbank South,1233.0,20.331
Beachhaven/Birkdale,Rewiti/Kumeu/Riverhead,1455.0,24.914
Beachhaven/Birkdale,Rothesay/Murrays/Mairangi Bays,871.0,10.863
Beachhaven/Birkdale,Royal Oak/One Tree Hill,1390.0,19.361
Beachhaven/Birkdale,Rural Franklin,2798.0,62.695
Beachhaven/Birkdale,St Helliers/Glendowie,1605.0,25.153
Beachhaven/Birkdale,St Johns,1350.0,22.489
Beachhaven/Birkdale,St Lukes/Sandringham,1227.0,18.481
Beachhaven/Birkdale,Sunnynook/Westlake,687.0,8.303
Beachhaven/Birkdale,Takanini/Ardmore,2016.0,41.078
Beachhaven/Birkdale,Takapuna,737.0,9.78
Beachhaven/Birkdale,Te Atatu,1274.0,25.071
Beachhaven/Birkdale,Te Atatu Peninsula,1389.0,26.213
Beachhaven/Birkdale,Three Kings,1353.0,19.52
Beachhaven/Birkdale,Titirangi,1801.0,27.684
Beachhaven/Birkdale,Torbay,1126.0,17.488
Beachhaven/Birkdale,Waiheke Island,4380.0,52.794
Beachhaven/Birkdale,Wairau Park/Glenfield North,460.0,5.374
Beachhaven/Birkdale,Waiuku,3617.0,74.408
Beachhaven/Birkdale,Waterview/Avondale Heights,1135.0,19.191
Beachhaven/Birkdale,Wattle Downs/Conifer Grove,2011.0,40.965
Beachhaven/Birkdale,Wellsford/Warkworth/Helensville,3071.0,59.053
Beachhaven/Birkdale,West Harbour,916.0,15.615
Beachhaven/Birkdale,Western Beaches/Rural,1879.0,33.446
Beachhaven/Birkdale,Western Springs/Morningside,1120.0,17.646
Beachhaven/Birkdale,Westmere/Surrey Crescent,932.0,13.651
Beachhaven/Birkdale,Weymouth,2055.0,41.28
Blockhouse Bay/New Windsor,Albany,1508.0,26.81
Blockhouse Bay/New Windsor,Avondale,374.0,3.925
Blockhouse Bay/New Windsor,Balmoral,666.0,7.898
Blockhouse Bay/New Windsor,Beachhaven/Birkdale,1513.0,20.597
Blockhouse Bay/New Windsor,Blockhouse Bay/New Windsor,0.0,0.0
Blockhouse Bay/New Windsor,Botony Downs,1649.0,24.984
Blockhouse Bay/New Windsor,Browns Bay,1744.0,28.928
Blockhouse Bay/New Windsor,Bucklands Beach,1650.0,25.028
Blockhouse Bay/New Windsor,Central East,943.0,13.902
Blockhouse Bay/New Windsor,Central West,926.0,12.681
Blockhouse Bay/New Windsor,Chatswood/Birkenhead/Northcote Point,1248.0,17.404
Blockhouse Bay/New Windsor,Dannemora,1599.0,24.724
Blockhouse Bay/New Windsor,Devonport,1617.0,22.587
Blockhouse Bay/New Windsor,East Coast Bays,1510.0,21.729
Blockhouse Bay/New Windsor,Eden Terrace,756.0,8.864
Blockhouse Bay/New Windsor,Ellerslie,1190.0,19.563
Blockhouse Bay/New Windsor,Epsom,898.0,10.028
Blockhouse Bay/New Windsor,Glen Eden,674.0,8.28
Blockhouse Bay/New Windsor,Glen Innes/Pt England/Wai O Taiki,1438.0,21.669
Blockhouse Bay/New Windsor,Glendene,667.0,7.336
Blockhouse Bay/New Windsor,Glendhu/Glenfield,1508.0,20.887
Blockhouse Bay/New Windsor,Greenhithe/Unsworth Heights,1398.0,28.519
Blockhouse Bay/New Windsor,Grey Lynn/Arch Hill,877.0,10.341
Blockhouse Bay/New Windsor,Gulf Harbour,3243.0,57.472
Blockhouse Bay/New Windsor,Half Moon Bay/Farm Cove,1383.0,21.493
Blockhouse Bay/New Windsor,Henderson,898.0,10.531
Blockhouse Bay/New Windsor,Herne Bay/St Marys,854.0,10.778
Blockhouse Bay/New Windsor,Highland Park,1471.0,22.93
Blockhouse Bay/New Windsor,Hillcrest/Northcote,1367.0,19.853
Blockhouse Bay/New Windsor,Hillsborough,580.0,7.151
Blockhouse Bay/New Windsor,Howick,1665.0,25.856
Blockhouse Bay/New Windsor,Kelston,483.0,5.222
Blockhouse Bay/New Windsor,Kingsland,712.0,7.836
Blockhouse Bay/New Windsor,Kohimarama,1500.0,21.476
Blockhouse Bay/New Windsor,Lynfield,338.0,3.494
Blockhouse Bay/New Windsor,Mangere,893.0,14.854
Blockhouse Bay/New Windsor,Mangere Bridge/Airport,772.0,13.75
Blockhouse Bay/New Windsor,Mangere East,920.0,17.161
Blockhouse Bay/New Windsor,Manukau Central,1129.0,22.593
Blockhouse Bay/New Windsor,Manukau Heights and Manurewa Heights,1343.0,25.418
Blockhouse Bay/New Windsor,Manurewa North,1416.0,25.604
Blockhouse Bay/New Windsor,Maraetai/Clevedon,2108.0,39.426
Blockhouse Bay/New Windsor,Massey/Royal Heights,904.0,15.3
Blockhouse Bay/New Windsor,Meadowbank,1313.0,20.159
Blockhouse Bay/New Windsor,Mission Bay/Orakei,1392.0,19.699
Blockhouse Bay/New Windsor,Mt Albert/Owairaka,450.0,4.751
Blockhouse Bay/New Windsor,Mt Eden,747.0,8.577
Blockhouse Bay/New Windsor,Mt Roskill/Wesley,447.0,4.911
Blockhouse Bay/New Windsor,Mt Wellington,1165.0,16.534
Blockhouse Bay/New Windsor,Mt Wellington North,1220.0,17.851
Blockhouse Bay/New Windsor,New Lynn,315.0,3.628
Blockhouse Bay/New Windsor,Newmarket,966.0,11.332
Blockhouse Bay/New Windsor,Newton/Grafton,851.0,9.742
Blockhouse Bay/New Windsor,North Harbour/Pine Hill,1543.0,26.393
Blockhouse Bay/New Windsor,Onehunga/Oranga/Te Papapa,817.0,11.711
Blockhouse Bay/New Windsor,Orewa/Whangaparaoa,,
Blockhouse Bay/New Windsor,Otahuhu,1097.0,18.186
Blockhouse Bay/New Windsor,Otara,1383.0,25.652
Blockhouse Bay/New Windsor,Pakuranga,1224.0,19.076
Blockhouse Bay/New Windsor,Panmure,1296.0,18.998
Blockhouse Bay/New Windsor,Papakura/Drury/Karaka,1638.0,35.175
Blockhouse Bay/New Windsor,Papatoetoe North,1184.0,22.288
Blockhouse Bay/New Windsor,Papatoetoe South,1229.0,22.317
Blockhouse Bay/New Windsor,Papatoetoe West,1073.0,20.641
Blockhouse Bay/New Windsor,Parnell,1031.0,15.319
Blockhouse Bay/New Windsor,Penrose/Mt Wellington South,1171.0,16.518
Blockhouse Bay/New Windsor,Ponsonby/Freemans Bay,978.0,11.94
Blockhouse Bay/New Windsor,Pt Chevalier,579.0,6.432
Blockhouse Bay/New Windsor,Pukekohe/Tuakau,2335.0,53.212
Blockhouse Bay/New Windsor,Ranui,1092.0,16.137
Blockhouse Bay/New Windsor,Remuera,1084.0,16.808
Blockhouse Bay/New Windsor,Remuera South/Meadowbank South,1225.0,19.173
Blockhouse Bay/New Windsor,Rewiti/Kumeu/Riverhead,1313.0,25.22
Blockhouse Bay/New Windsor,Rothesay/Murrays/Mairangi Bays,1757.0,33.232
Blockhouse Bay/New Windsor,Royal Oak/One Tree Hill,938.0,9.698
Blockhouse Bay/New Windsor,Rural Franklin,2320.0,53.284
Blockhouse Bay/New Windsor,St Helliers/Glendowie,1598.0,23.995
Blockhouse Bay/New Windsor,St Johns,1343.0,21.331
Blockhouse Bay/New Windsor,St Lukes/Sandringham,521.0,6.003
Blockhouse Bay/New Windsor,Sunnynook/Westlake,1404.0,21.488
Blockhouse Bay/New Windsor,Takanini/Ardmore,1538.0,31.667
Blockhouse Bay/New Windsor,Takapuna,1296.0,18.621
Blockhouse Bay/New Windsor,Te Atatu,789.0,11.509
Blockhouse Bay/New Windsor,Te Atatu Peninsula,974.0,13.183
Blockhouse Bay/New Windsor,Three Kings,565.0,6.758
Blockhouse Bay/New Windsor,Titirangi,586.0,7.056
Blockhouse Bay/New Windsor,Torbay,1822.0,30.667
Blockhouse Bay/New Windsor,Waiheke Island,4182.0,45.381
Blockhouse Bay/New Windsor,Wairau Park/Glenfield North,1397.0,21.669
Blockhouse Bay/New Windsor,Waiuku,3139.0,64.997
Blockhouse Bay/New Windsor,Waterview/Avondale Heights,339.0,3.692
Blockhouse Bay/New Windsor,Wattle Downs/Conifer Grove,1533.0,31.554
Blockhouse Bay/New Windsor,Wellsford/Warkworth/Helensville,3767.0,72.232
Blockhouse Bay/New Windsor,West Harbour,1139.0,19.125
Blockhouse Bay/New Windsor,Western Beaches/Rural,1320.0,24.801
Blockhouse Bay/New Windsor,Western Springs/Morningside,588.0,6.619
Blockhouse Bay/New Windsor,Westmere/Surrey Crescent,747.0,8.943
Blockhouse Bay/New Windsor,Weymouth,1366.0,25.301
Botony Downs,Albany,1860.0,38.279
Botony Downs,Avondale,1606.0,28.303
Botony Downs,Balmoral,1313.0,19.777
Botony Downs,Beachhaven/Birkdale,1864.0,32.066
Botony Downs,Blockhouse Bay/New Windsor,1657.0,25.867
Botony Downs,Botony Downs,0.0,0.0
Botony Downs,Browns Bay,2096.0,40.397
Botony Downs,Bucklands Beach,626.0,7.06
Botony Downs,Central East,1249.0,21.665
Botony Downs,Central West,1279.0,21.548
Botony Downs,Chatswood/Birkenhead/Northcote Point,1599.0,28.873
Botony Downs,Dannemora,409.0,4.48
Botony Downs,Devonport,1968.0,34.056
Botony Downs,East Coast Bays,1862.0,33.198
Botony Downs,Eden Terrace,1199.0,20.101
Botony Downs,Ellerslie,1059.0,13.082
Botony Downs,Epsom,1118.0,17.842
Botony Downs,Glen Eden,2066.0,31.48
Botony Downs,Glen Innes/Pt England/Wai O Taiki,944.0,12.623
Botony Downs,Glendene,1950.0,34.834
Botony Downs,Glendhu/Glenfield,1859.0,32.356
Botony Downs,Greenhithe/Unsworth Heights,1826.0,37.432
Botony Downs,Grey Lynn/Arch Hill,1448.0,22.963
Botony Downs,Gulf Harbour,3594.0,68.941
Botony Downs,Half Moon Bay/Farm Cove,469.0,4.996
Botony Downs,Henderson,2030.0,35.095
Botony Downs,Herne Bay/St Marys,1433.0,23.559
Botony Downs,Highland Park,399.0,4.638
Botony Downs,Hillcrest/Northcote,1718.0,31.322
Botony Downs,Hillsborough,1301.0,19.762
