origin,destination,time,distance
Avondale,Western Springs/Morningside,833.0,5.489
Avondale,Westmere/Surrey Crescent,1051.0,6.904
Avondale,Weymouth,4338.0,28.415
Balmoral,Albany,5697.0,37.479
Balmoral,Avondale,1066.0,7.443
Balmoral,Balmoral,0.0,0.0
Balmoral,Beachhaven/Birkdale,5793.0,37.596
Balmoral,Blockhouse Bay/New Windsor,1111.0,7.51
Balmoral,Botony Downs,2738.0,19.118
Balmoral,Browns Bay,6000.0,39.223
Balmoral,Bucklands Beach,2668.0,18.7
Balmoral,Central East,1033.0,6.547
Balmoral,Central West,962.0,6.295
Balmoral,Chatswood/Birkenhead/Northcote Point,5912.0,38.199
Balmoral,Dannemora,2770.0,19.148
Balmoral,Devonport,6619.0,43.832
Balmoral,East Coast Bays,5815.0,37.688
Balmoral,Eden Terrace,595.0,3.958
Balmoral,Ellerslie,1043.0,6.976
Balmoral,Epsom,464.0,2.81
Balmoral,Glen Eden,1994.0,13.453
Balmoral,Glen Innes/Pt England/Wai O Taiki,1836.0,12.694
Balmoral,Glendene,1927.0,13.009
Balmoral,Glendhu/Glenfield,5390.0,35.036
Balmoral,Greenhithe/Unsworth Heights,4757.0,30.818
Balmoral,Grey Lynn/Arch Hill,754.0,4.803
Balmoral,Gulf Harbour,11261.0,74.169
Balmoral,Half Moon Bay/Farm Cove,2151.0,15.089
Balmoral,Henderson,2430.0,16.362
Balmoral,Herne Bay/St Marys,1051.0,6.906
Balmoral,Highland Park,2377.0,16.602
Balmoral,Hillcrest/Northcote,5659.0,36.85
Balmoral,Hillsborough,624.0,3.868
Balmoral,Howick,2782.0,19.192
Balmoral,Kelston,1523.0,10.418
Balmoral,Kingsland,522.0,3.441
Balmoral,Kohimarama,1721.0,11.703
Balmoral,Lynfield,673.0,4.649
Balmoral,Mangere,1779.0,11.864
Balmoral,Mangere Bridge/Airport,1513.0,10.151
Balmoral,Mangere East,2158.0,14.866
Balmoral,Manukau Central,2790.0,19.097
Balmoral,Manukau Heights and Manurewa Heights,3203.0,21.424
Balmoral,Manurewa North,3367.0,23.25
Balmoral,Maraetai/Clevedon,4972.0,32.448
Balmoral,Massey/Royal Heights,2387.0,15.924
Balmoral,Meadowbank,1272.0,8.634
Balmoral,Mission Bay/Orakei,1499.0,10.165
Balmoral,Mt Albert/Owairaka,674.0,4.393
Balmoral,Mt Eden,392.0,2.563
Balmoral,Mt Roskill/Wesley,459.0,3.096
Balmoral,Mt Wellington,1279.0,8.822
Balmoral,Mt Wellington North,1287.0,8.874
Balmoral,New Lynn,1309.0,9.153
Balmoral,Newmarket,741.0,4.842
Balmoral,Newton/Grafton,757.0,4.721
Balmoral,North Harbour/Pine Hill,5617.0,36.472
Balmoral,Onehunga/Oranga/Te Papapa,778.0,5.134
Balmoral,Orewa/Whangaparaoa,,
Balmoral,Otahuhu,1787.0,12.37
Balmoral,Otara,2513.0,17.415
Balmoral,Pakuranga,1937.0,13.5
Balmoral,Panmure,1547.0,10.759
Balmoral,Papakura/Drury/Karaka,4344.0,30.082
Balmoral,Papatoetoe North,2209.0,15.326
Balmoral,Papatoetoe South,2398.0,16.675
Balmoral,Papatoetoe West,2385.0,16.007
Balmoral,Parnell,1024.0,7.062
Balmoral,Penrose/Mt Wellington South,1496.0,10.231
Balmoral,Ponsonby/Freemans Bay,966.0,6.457
Balmoral,Pt Chevalier,980.0,6.798
Balmoral,Pukekohe/Tuakau,8180.0,55.149
Balmoral,Ranui,2615.0,17.369
Balmoral,Remuera,984.0,6.574
Balmoral,Remuera South/Meadowbank South,1188.0,7.681
Balmoral,Rewiti/Kumeu/Riverhead,4614.0,29.615
Balmoral,Rothesay/Murrays/Mairangi Bays,5778.0,37.861
Balmoral,Royal Oak/One Tree Hill,662.0,3.907
Balmoral,Rural Franklin,8651.0,58.27
Balmoral,St Helliers/Glendowie,1816.0,12.47
Balmoral,St Johns,1510.0,9.839
Balmoral,St Lukes/Sandringham,272.0,1.895
Balmoral,Sunnynook/Westlake,5592.0,36.551
Balmoral,Takanini/Ardmore,4051.0,27.855
Balmoral,Takapuna,6113.0,40.074
Balmoral,Te Atatu,1936.0,12.992
Balmoral,Te Atatu Peninsula,2193.0,14.665
Balmoral,Three Kings,214.0,1.411
Balmoral,Titirangi,2050.0,12.645
Balmoral,Torbay,6261.0,41.336
Balmoral,Waiheke Island,5529.0,39.053
Balmoral,Wairau Park/Glenfield North,5208.0,33.8
Balmoral,Waiuku,11310.0,76.049
Balmoral,Waterview/Avondale Heights,1012.0,6.83
Balmoral,Wattle Downs/Conifer Grove,3754.0,26.043
Balmoral,Wellsford/Warkworth/Helensville,,
Balmoral,West Harbour,3379.0,22.411
Balmoral,Western Beaches/Rural,5931.0,34.621
Balmoral,Western Springs/Morningside,569.0,3.997
Balmoral,Westmere/Surrey Crescent,948.0,6.495
Balmoral,Weymouth,3541.0,23.599
Beachhaven/Birkdale,Albany,1898.0,12.66
Beachhaven/Birkdale,Avondale,4782.0,30.801
Beachhaven/Birkdale,Balmoral,5620.0,35.968
Beachhaven/Birkdale,Beachhaven/Birkdale,0.0,0.0
