orig,orig_name,dest,dest_name,duration,distance
,Waterview/Avondale Heights,,Beachhaven/Birkdale,,
,Wattle Downs/Conifer Grove,,Beachhaven/Birkdale,,
,Wellsford/Warkworth/Helensville,,Beachhaven/Birkdale,,
,West Harbour,,Beachhaven/Birkdale,,
,Western Beaches/Rural,,Beachhaven/Birkdale,,
,Western Springs/Morningside,,Beachhaven/Birkdale,,
,Westmere/Surrey Crescent,,Beachhaven/Birkdale,,
,Weymouth,,Beachhaven/Birkdale,,
,Albany,,Blockhouse Bay/New Windsor,,
,Avondale,,Blockhouse Bay/New Windsor,,
,Balmoral,,Blockhouse Bay/New Windsor,,
,Beachhaven/Birkdale,,Blockhouse Bay/New Windsor,,
,Blockhouse Bay/New Windsor,,Blockhouse Bay/New Windsor,,
,Botony Downs,,Blockhouse Bay/New Windsor,,
,Browns Bay,,Blockhouse Bay/New Windsor,,
,Bucklands Beach,,Blockhouse Bay/New Windsor,,
,Central East,,Blockhouse Bay/New Windsor,,
,Central West,,Blockhouse Bay/New Windsor,,
,Chatswood/Birkenhead/Northcote Point,,Blockhouse Bay/New Windsor,,
,Dannemora,,Blockhouse Bay/New Windsor,,
,Devonport,,Blockhouse Bay/New Windsor,,
,East Coast Bays,,Blockhouse Bay/New Windsor,,
,Eden Terrace,,Blockhouse Bay/New Windsor,,
,Ellerslie,,Blockhouse Bay/New Windsor,,
,Epsom,,Blockhouse Bay/New Windsor,,
,Glen Eden,,Blockhouse Bay/New Windsor,,
,Glen Innes/Pt England/Wai O Taiki,,Blockhouse Bay/New Windsor,,
,Glendene,,Blockhouse Bay/New Windsor,,
,Glendhu/Glenfield,,Blockhouse Bay/New Windsor,,
,Greenhithe/Unsworth Heights,,Blockhouse Bay/New Windsor,,
,Grey Lynn/Arch Hill,,Blockhouse Bay/New Windsor,,
,Gulf Harbour,,Blockhouse Bay/New Windsor,,
,Half Moon Bay/Farm Cove,,Blockhouse Bay/New Windsor,,
,Henderson,,Blockhouse Bay/New Windsor,,
,Herne Bay/St Marys,,Blockhouse Bay/New Windsor,,
,Highland Park,,Blockhouse Bay/New Windsor,,
