orig_name,dest_name,card_fare
Balmoral,Mt Albert/Owairaka,1.85
Balmoral,Mt Eden,1.85
Balmoral,Mt Roskill/Wesley,1.85
Balmoral,Mt Wellington,1.85
Balmoral,Mt Wellington North,1.85
Balmoral,New Lynn,1.85
Balmoral,Newmarket,1.85
Balmoral,Newton/Grafton,3.15
Balmoral,North Harbour/Pine Hill,6.1
Balmoral,Onehunga/Oranga/Te Papapa,1.85
Balmoral,Orewa/Whangaparaoa,
Balmoral,Otahuhu,1.85
Balmoral,Otara,3.15
Balmoral,Pakuranga,3.15
Balmoral,Panmure,1.85
Balmoral,Papakura/Drury/Karaka,4.85
Balmoral,Papatoetoe North,3.15
Balmoral,Papatoetoe South,3.15
Balmoral,Papatoetoe West,3.15
Balmoral,Parnell,3.15
Balmoral,Penrose/Mt Wellington South,1.85
Balmoral,Ponsonby/Freemans Bay,3.15
Balmoral,Pt Chevalier,1.85
Balmoral,Pukekohe/Tuakau,6.1
Balmoral,Ranui,3.15
Balmoral,Remuera,1.85
Balmoral,Remuera South/Meadowbank South,1.85
Balmoral,Rewiti/Kumeu/Riverhead,
Balmoral,Rothesay/Murrays/Mairangi Bays,6.1
Balmoral,Royal Oak/One Tree Hill,1.85
Balmoral,Rural Franklin,
Balmoral,St Helliers/Glendowie,1.85
Balmoral,St Johns,1.85
Balmoral,St Lukes/Sandringham,1.85
Balmoral,Sunnynook/Westlake,4.85
Balmoral,Takanini/Ardmore,4.85
Balmoral,Takapuna,4.85
Balmoral,Te Atatu,3.15
Balmoral,Te Atatu Peninsula,3.15
Balmoral,Three Kings,0.0
Balmoral,Titirangi,3.15
Balmoral,Torbay,6.1
Balmoral,Waiheke Island,23.0
Balmoral,Wairau Park/Glenfield North,4.85
Balmoral,Waiuku,6.1
Balmoral,Waterview/Avondale Heights,1.85
Balmoral,Wattle Downs/Conifer Grove,4.85
Balmoral,Wellsford/Warkworth/Helensville,
Balmoral,West Harbour,3.15
Balmoral,Western Beaches/Rural,
Balmoral,Western Springs/Morningside,1.85
